species;genus;family;body.size.avg;bs.metric;fecundity.avg;egg.diam.avg;notes;burrow.lough;traditional.burrow.classification;combined.burrow.classification
Cambarus sciotensis;Cambarus;cambaridae;39.7;cl;111;2.65;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus scotti;Cambarus;cambaridae;34.4;cl;110;2.2;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus tenebrosus;Cambarus;cambaridae;44.5;cl;227;3;null;Non-burrower;Tertiary burrower;Open-water burrower
Cambarus unestami;Cambarus;cambaridae;36.25;cl;159;2.5;null;Non-burrower;Tertiary burrower;Open-water burrower
Cherax cainii;Cherax;parastacidae;55;ocl;284;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Cherax quadricarinatus;Cherax;parastacidae;55;cl;688.8;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Cherax tenuimanus;Cherax;parastacidae;50.5;cl;491.5;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Euastacus bidawalus;Euastacus;parastacidae;40;ocl;30;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Euastacus bispinosus;Euastacus;parastacidae;60;ocl;950;NA;Only have clutch max value;Non-burrower;Tertiary burrower;Open-water burrower
Euastacus clarkae;Euastacus;parastacidae;40;ocl;100;NA;Only have clutch max value;Non-burrower;Tertiary burrower;Open-water burrower
Euastacus claytoni;Euastacus;parastacidae;48.17;ocl;129.5;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Euastacus dangadi;Euastacus;parastacidae;35;ocl;120;NA;Only have body size min and clutch max;Non-burrower;Tertiary burrower;Open-water burrower
Euastacus dharawalus;Euastacus;parastacidae;65.47;ocl;512;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Euastacus diversus;Euastacus;parastacidae;35;ocl;30;NA;Only have body size min and clutch max;Non-burrower;Tertiary burrower;Open-water burrower
Euastacus fleckeri;Euastacus;parastacidae;66.45;ocl;185;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Euastacus gumar;Euastacus;parastacidae;30;ocl;65;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Euastacus kershawi;Euastacus;parastacidae;50;ocl;950;NA;Only have body size min and clutch max;Non-burrower;Tertiary burrower;Open-water burrower
Euastacus setosus;Euastacus;parastacidae;30;ocl;35;NA;Only have body size min;Non-burrower;Tertiary burrower;Open-water burrower
Euastacus sulcatus;Euastacus;parastacidae;45;ocl;111;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Euastacus suttoni;Euastacus;parastacidae;54.9;ocl;192;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Euastacus woiwuru;Euastacus;parastacidae;48;ocl;91;NA;null;Non-burrower;Tertiary burrower;Open-water burrower
Euastacus yanga;Euastacus;parastacidae;40;ocl;150;NA;Only have body size min;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius alabamensis;Faxonius;cambaridae;22.7;cl;95.5;1.8;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius causeyi;Faxonius;cambaridae;43;cl;588;1.95;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius chickasawae;Faxonius;cambaridae;28.875;cl;196;1.7;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius cristavarius;Faxonius;cambaridae;21.15;cl;108.25;1.825;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius durelli;Faxonius;cambaridae;25.2;ocl;101.75;2.4;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius erichsonianus;Faxonius;cambaridae;33.9;cl;196.5;2.85;null;Non-burrower;Tertiary burrower;Open-water burrower
Faxonius etnieri;Faxonius;cambaridae;27.18;cl;155;1.85;null;Non-burrower;Tertiary burrower;Open-water burrower
