species;genus;family;body.size.avg;bs.metric;fecundity.avg;egg.diam.avg;burrowing.status;alastair.classification;loughman.burrow.status.morphology;stern.phylogeny;notes;burrow.ala;burrow.lough;burrow;traditional.burrow.classification;combined.burrow.classification
Faxonius williamsi;Faxonius;cambaridae;21.5;cl;70;2.3;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Orconectes stygocaneyi;Orconectes;cambaridae;38.9;cl;65.5;;cave;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Pacifastacus fortis;Pacifastacus;astacidae;35.24;cl;40.08;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Pacifastacus leniusculus;Pacifastacus;astacidae;42.52;cl;141.01;2.505;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Paranephrops planifrons;Paranephrops;parastacidae;37.5;cl;100;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Procambarus acutus;Procambarus;cambaridae;36.2;cl;348;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Procambarus braswelli;Procambarus;cambaridae;25.5;cl;128.5;1.55;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Procambarus enoplosternum;Procambarus;cambaridae;28.95;cl;213.5;1.6;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Procambarus hayi;Procambarus;cambaridae;47;cl;200;;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Procambarus howellae;Procambarus;cambaridae;28.3;cl;134;1.85;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Procambarus leonensis;Procambarus;cambaridae;35.66;cl;331;1.5;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Procambarus lunzi;Procambarus;cambaridae;26.6;cl;84;1.5;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Procambarus paeninsulanus;Procambarus;cambaridae;29.72;cl;149;1.6;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Procambarus pubescens;Procambarus;cambaridae;30.4;cl;217.7;1.5;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Procambarus raneyi;Procambarus;cambaridae;42.55;cl;352;1.9;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Procambarus seminolae;Procambarus;cambaridae;22.8;cl;145.2;1.4;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Procambarus spiculifer;Procambarus;cambaridae;49.55;cl;455;1.6;;3;0;1;only have max clutch size;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Procambarus suttkusi;Procambarus;cambaridae;25.25;cl;184.5;1.5;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
Procambarus zonangulus;Procambarus;cambaridae;44.82;cl;202.99;2.4;;3;0;1;;water;Non-burrower;0;tertiary_burrower;weakly_burrowing
